"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt"
"7","p(elev)psi(canopy_c)",4,71.5005255579497,0,1,0.756119257991867,-31.405435192768,0.756119257991867
"4","p(elev)psi(dist_def)",4,77.0802550763773,5.5797295184276,0.0614295211299839,0.0464480439355991,-34.1952999519818,0.802567301927466
"15","p(basal_a)psi(canopy_c)",4,77.6166264878867,6.11610092993703,0.0469791935850196,0.0355218729945613,-34.4634856577365,0.838089174922027
"8","p(elev)psi(basal_a)",4,78.6342534530354,7.1337278950857,0.0282442905132109,0.0213560519853558,-34.9722991403108,0.859445226907383
"9","p(elev)psi(in_out)",4,78.712509768783,7.21198421083325,0.0271604853773025,0.0205365660501849,-35.0114272981846,0.879981792957568
"3","p(elev)psi(slope)",4,78.9795488564918,7.47902329854215,0.023765706297861,0.0179697082115913,-35.144946842039,0.897951501169159
"6","p(elev)psi(canopy_h)",4,79.0069481738432,7.50642261589353,0.0234423442655133,0.0177252079516298,-35.1586465007147,0.915676709120789
"5","p(elev)psi(dist_rd)",4,79.007958452473,7.50743289452328,0.0234305056061299,0.0177162565132812,-35.1591516400296,0.93339296563407
"2","p(elev)psi(elev)",4,79.0205054899459,7.51997993199616,0.0232839740051647,0.0176054611478871,-35.165425158766,0.950998426781957
"1","p(.)psi(.)",2,79.0836443108591,7.58311875290941,0.0225603942596942,0.017058348567644,-37.4418221554296,0.968056775349601
"12","p(basal_a)psi(dist_def)",4,80.232742744528,8.73221718657832,0.0127005676039847,0.00960314375280045,-35.7715437860571,0.977659919102402
"10","p(basal_a)psi(elev)",4,80.3107834555999,8.81025789765025,0.0122145312638327,0.00923564231592766,-35.8105641415931,0.986895561418329
"14","p(basal_a)psi(canopy_h)",4,82.730238615558,11.2297130576083,0.00364333237388946,0.00275479377116304,-37.0202917215721,0.989650355189492
"11","p(basal_a)psi(slope)",4,82.758595683789,11.2580701258393,0.00359203974793609,0.00271601042888673,-37.0344702556876,0.992366365618379
"17","p(basal_a)psi(in_out)",4,82.8718642568814,11.3713386989317,0.00339426054261809,0.00256646576291546,-37.0911045422338,0.994932831381295
"16","p(basal_a)psi(basal_a)",4,82.8917487215267,11.391223163577,0.00336068121906133,0.00254107578970385,-37.1010467745565,0.997473907170998
"13","p(basal_a)psi(dist_rd)",4,82.90357623744,11.4030506794903,0.00334086561385903,0.00252609282900163,-37.1069605325131,1
