"","Numero_de_registros","naive_occu","especie"
" ",1054,1," "
"Momotus momota",3,0.0158730158730159,"Momotus momota"
"Cuniculus paca",93,0.380952380952381,"Cuniculus paca"
"Ortalis erythroptera",23,0.206349206349206,"Ortalis erythroptera"
"Galictis vittata",2,0.0317460317460317,"Galictis vittata"
"Eira barbara",39,0.365079365079365,"Eira barbara"
"Puma yauguaroundi",7,0.111111111111111,"Puma yauguaroundi"
"Tinamus major",36,0.142857142857143,"Tinamus major"
"Rattus rattus",32,0.111111111111111,"Rattus rattus"
"Leopardus wiedii",10,0.0952380952380952,"Leopardus wiedii"
"Tamandua mexicana",17,0.174603174603175,"Tamandua mexicana"
"Procyon cancrivorus",18,0.19047619047619,"Procyon cancrivorus"
"Leopardus pardalis",10,0.126984126984127,"Leopardus pardalis"
"Dasypus novemcinctus",41,0.206349206349206,"Dasypus novemcinctus"
"Leptotila verreauxi",29,0.238095238095238,"Leptotila verreauxi"
"Homo sapiens",32,0.206349206349206,"Homo sapiens"
"Alouatta palliata",3,0.0158730158730159,"Alouatta palliata"
"Odocoileus virginianus",24,0.158730158730159,"Odocoileus virginianus"
"Capra aegagrus",52,0.0793650793650794,"Capra aegagrus"
"Equus ferus",38,0.142857142857143,"Equus ferus"
"Sylvilagus brasiliensis",16,0.0952380952380952,"Sylvilagus brasiliensis"
"Bos primigenius",100,0.158730158730159,"Bos primigenius"
"Canis lupus",11,0.0793650793650794,"Canis lupus"
"Ortalis vetula",3,0.0476190476190476,"Ortalis vetula"
"Buteogallus urubitinga",3,0.0476190476190476,"Buteogallus urubitinga"
"Dasyprocta punctata",11,0.0952380952380952,"Dasyprocta punctata"
"Didelphis marsupialis",3,0.0476190476190476,"Didelphis marsupialis"
"Damophila julie",1,0.0158730158730159,"Damophila julie"
"Carduelis siemiradzkii",1,0.0158730158730159,"Carduelis siemiradzkii"
"Sciurus stramineus",9,0.0793650793650794,"Sciurus stramineus"
"Equus africanus",10,0.0317460317460317,"Equus africanus"
"Zenaida auriculata",4,0.0158730158730159,"Zenaida auriculata"
"Cebus capucinus",3,0.0158730158730159,"Cebus capucinus"
"Coragyps atratus",2,0.0158730158730159,"Coragyps atratus"
"Felis silvestris",3,0.0317460317460317,"Felis silvestris"
"Gallus gallus",4,0.0317460317460317,"Gallus gallus"
"Sus scrofa",1,0.0158730158730159,"Sus scrofa"
"Pipistrellus pipistrellus",2,0.0158730158730159,"Pipistrellus pipistrellus"
"Columbina cruziana",1,0.0158730158730159,"Columbina cruziana"
"Artibeus jamaicensis",1,0.0158730158730159,"Artibeus jamaicensis"
